,missing_pct
competition_density,100.0
sales_growth_rate,47.14
estimated_sales,43.3
transit_score,2.33
facility_count,2.33
resident_population,0.76
worker_population,0.34
foot_traffic,0.02
foot_traffic_20,0.02
foot_traffic_30,0.02
district_name,0.0
longitude,0.0
gu_name,0.0
latitude,0.0
created_at,0.0
area_m2,0.0
business_code,0.0
district_code,0.0
id,0.0
source_dates,0.0
extra_features,0.0
district_id,0.0
closure_rate,0.0
opening_rate,0.0
store_count,0.0
reference_date,0.0
business_type_id,0.0
business_name,0.0
