,count,mean,std,min,25%,50%,75%,max
foot_traffic,225696.0,963767.2079389975,938996.9917427659,4.0,323001.0,709289.0,1324362.0,8816195.0
foot_traffic_20,225696.0,173190.8949028782,227125.03271756548,0.0,45919.0,106024.0,215431.0,3487417.0
foot_traffic_30,225696.0,171684.5815433149,192607.05270105955,0.0,51958.0,117263.0,221266.0,2024145.0
resident_population,224022.0,2664.0718902607778,2402.232621194659,1.0,892.5,1971.0,3736.0,21341.0
worker_population,224964.0,3349.086280471542,11615.540834505351,1.0,245.0,573.0,1677.0,214604.0
store_count,225736.0,10.704579686004891,24.387955189410377,0.0,2.0,4.0,10.0,680.0
opening_rate,225736.0,4.015101711734061,12.265964095820909,0.0,0.0,0.0,0.0,200.0
closure_rate,225736.0,4.1217439841230465,14.007196577030898,0.0,0.0,0.0,0.0,300.0
estimated_sales,128003.0,984346134.9785943,2775581028.2563386,3936.0,83186974.5,259673766.0,796295499.0,122332161711.0
sales_growth_rate,119322.0,0.16919207062255537,14.161055468698915,-0.999876401156172,-0.10755647148763124,0.0,0.132975136631347,3657.58862323089
competition_density,0.0,,,,,,,
facility_count,220478.0,24.74287684031967,35.486098887444044,1.0,8.0,15.0,28.0,594.0
transit_score,220478.0,54.31610433677968,28.406970921774413,9.56907477820025,26.5842839036755,53.7705956907478,78.7705956907478,100.0
